"nombre_cientifico","nombre_comun","familia","registros","gbif"
"Euphorbia cotinifolia","Lechero rojo","EUPHORBIACEAE","37","https://www.gbif.org/es/species/3067261"
"Petrea volubilis","Penitente","VERBENACEAE","37","https://www.gbif.org/es/species/2925536"
"Malpighia emarginata","Acerola","MALPIGHIACEAE","36","https://www.gbif.org/es/species/5421427"
"Sambucus nigra","Saúco","CAPRIFOLIACEAE","36","https://www.gbif.org/es/species/2888728"
"Alstonia scholaris","Alstonia","APOCYNACEAE","35","https://www.gbif.org/es/species/5414410"
"Duranta mutisii","Cruceto","VERBENACEAE","34","https://www.gbif.org/es/species/7297074"
"Terminalia ivorensis","Almendrillo","COMBRETACEAE","33","https://www.gbif.org/es/species/3189389"
"Phoenix dactylifera","Palma datilifera","PALMAE","32","https://www.gbif.org/es/species/6109699"
"Clitoria fairchildiana","Bohío","FABACEAE","32","https://www.gbif.org/es/species/2946600"
"Zygia longifolia","Pichindé","FABACEAE","32","https://www.gbif.org/es/species/5347452"
"Elaeagnus angustifolia","Árbol del paraíso","DESCONOCIDA","32","https://www.gbif.org/es/species/3039269"
"Casuarina equisetifolia","Pino australiano","CASUARINACEAE","32","https://www.gbif.org/es/species/2891930"
"Tectona grandis","Teca","VERBENACEAE","31","https://www.gbif.org/es/species/2925649"
"Flacourtia jangomas","Ciruela de Madagascar","FLACOURTIACEAE","31","https://www.gbif.org/es/species/5331164"
"Heptapleurum arboricola","Cheflera arboricola","ARALIACEAE","31","https://www.gbif.org/es/species/3038724"
"Erythrina variegata","Caraqueño","FABACEAE","31","https://www.gbif.org/es/species/5349581"
"Pterogyne nitens","Ibirá","FABACEAE","31","https://www.gbif.org/es/species/5352650"
"Pinus oocarpa","Pino amarillo","PINACEAE","30","https://www.gbif.org/es/species/5285220"
"Saribus rotundifolius","Livistona de Luzón","ARECACEAE","30","https://www.gbif.org/es/species/2733431"
"Vitex cymosa","Guayacán azul","VERBENACEAE","29","https://www.gbif.org/es/species/7309596"
"Citrus ×microcarpa","Naranjo miniatura","RUTACEAE","29",NULL
"Prosopis juliflora","Mesquite","DESCONOCIDA","29","https://www.gbif.org/es/species/5358460"
"Solanum wrightii","Lulo","SOLANACEAE","28","https://www.gbif.org/es/species/2931500"
"Bunchosia argentea","Ciruela de monte","MALPIGHIACEAE","28","https://www.gbif.org/es/species/3984105"
"Gardenia jasminoides","Gardenia","RUBIACEAE","28","https://www.gbif.org/es/species/5335125"
"Posoqueria longiflora","Azuceno de monte","RUBIACEAE","28","https://www.gbif.org/es/species/2893927"
"Triphasia trifolia","Cerezo asiático","RUTACEAE","27","https://www.gbif.org/es/species/3190406"
